episode,frame,ep_reward,success,intrinsic_bonus,total_shaped_reward,visit_count,steps_in_episode
0,100,0.0,0,0.7192230933248644,0.007192230933248645,0,100
1,200,0.0,0,0.4352752816480621,0.0043527528164806215,16,100
2,300,0.0,0,0.7192230933248644,0.007192230933248645,3,100
3,400,0.0,0,0.8122523963562355,0.008122523963562354,2,100
4,500,0.0,0,0.7192230933248644,0.007192230933248645,3,100
5,600,0.0,0,0.5841906810678655,0.005841906810678655,6,100
6,700,0.0,0,0.6170338627200096,0.006170338627200096,5,100
7,800,0.0,0,0.6170338627200096,0.006170338627200096,0,100
8,900,0.0,0,0.5577898253032461,0.005577898253032461,7,100
9,1000,0.0,0,0.7192230933248644,0.007192230933248645,3,100
10,1100,0.0,0,0.6170338627200096,0.006170338627200096,5,100
11,1200,0.0,0,0.5172818579717866,0.005172818579717866,9,100
12,1300,0.0,0,1.0,0.01,13,100
13,1400,0.0,0,0.7192230933248644,0.007192230933248645,0,100
14,1500,0.0,0,0.5841906810678655,0.005841906810678655,6,100
15,1600,0.0,0,0.8122523963562355,0.008122523963562354,0,100
16,1700,0.0,0,0.6170338627200096,0.006170338627200096,5,100
17,1800,0.0,0,0.7192230933248644,0.007192230933248645,3,100
18,1900,0.0,0,0.5358867312681466,0.005358867312681466,8,100
19,2000,0.0,0,0.8122523963562355,0.008122523963562354,2,100
20,2100,0.0,0,0.40117532357973634,0.004011753235797363,21,100
21,2200,0.0,0,0.4632516707503672,0.0046325167075036726,13,100
22,2300,0.0,0,0.4201634287291895,0.004201634287291895,18,100
23,2400,0.0,0,0.8122523963562355,0.008122523963562354,2,100
24,2500,0.0,0,0.7192230933248644,0.007192230933248645,3,100
25,2600,0.0,0,0.8122523963562355,0.008122523963562354,2,100
26,2700,0.0,0,0.5172818579717866,0.005172818579717866,3,100
27,2800,0.0,0,1.0,0.01,1,100
28,2900,0.0,0,0.5358867312681466,0.005358867312681466,0,100
29,3000,0.0,0,0.5841906810678655,0.005841906810678655,6,100
30,3100,0.0,0,0.5577898253032461,0.005577898253032461,7,100
31,3200,0.0,0,0.6170338627200096,0.006170338627200096,0,100
32,3300,0.0,0,0.8122523963562355,0.008122523963562354,2,100
33,3400,0.0,0,0.5577898253032461,0.005577898253032461,7,100
34,3500,0.0,0,1.0,0.01,0,100
35,3600,0.0,0,1.0,0.01,1,100
36,3700,0.0,0,1.0,0.01,1,100
37,3800,0.0,0,0.6597539553864472,0.006597539553864472,4,100
38,3900,0.0,0,0.6597539553864472,0.006597539553864472,4,100
39,4000,0.0,0,1.0,0.01,0,100
40,4100,0.0,0,0.7192230933248644,0.007192230933248645,3,100
41,4200,0.0,0,0.6597539553864472,0.006597539553864472,0,100
42,4300,0.0,0,0.8122523963562355,0.008122523963562354,2,100
43,4400,0.0,0,0.7192230933248644,0.007192230933248645,4,100
44,4500,0.0,0,0.7192230933248644,0.007192230933248645,3,100
45,4600,0.0,0,1.0,0.01,1,100
46,4700,0.0,0,0.6170338627200096,0.006170338627200096,5,100
47,4800,0.0,0,0.8122523963562355,0.008122523963562354,2,100
48,4900,0.0,0,0.5577898253032461,0.005577898253032461,7,100
49,5000,0.0,0,0.48705969722582854,0.004870596972258286,11,100
50,5058,0.478,1,1.0,0.488,0,58
51,5158,0.0,0,0.6170338627200096,0.006170338627200096,8,100
52,5258,0.0,0,0.6597539553864472,0.006597539553864472,4,100
53,5358,0.0,0,0.7192230933248644,0.007192230933248645,4,100
54,5458,0.0,0,0.48705969722582854,0.004870596972258286,5,100
55,5558,0.0,0,0.7192230933248644,0.007192230933248645,0,100
56,5658,0.0,0,0.8122523963562355,0.008122523963562354,2,100
57,5758,0.0,0,1.0,0.01,1,100
58,5858,0.0,0,0.7192230933248644,0.007192230933248645,3,100
59,5958,0.0,0,1.0,0.01,1,100
60,6058,0.0,0,0.5841906810678655,0.005841906810678655,6,100
61,6090,0.712,1,0.8122523963562355,0.7201225239635624,0,32
62,6190,0.0,0,0.8122523963562355,0.008122523963562354,0,100
63,6290,0.0,0,0.40709053153690444,0.004070905315369045,7,100
64,6390,0.0,0,0.4352752816480621,0.0043527528164806215,16,100
65,6490,0.0,0,0.6597539553864472,0.006597539553864472,4,100
66,6590,0.0,0,1.0,0.01,1,100
67,6690,0.0,0,0.6170338627200096,0.006170338627200096,5,100
68,6790,0.0,0,0.5172818579717866,0.005172818579717866,3,100
69,6890,0.0,0,1.0,0.01,0,100
70,6990,0.0,0,0.5172818579717866,0.005172818579717866,9,100
71,7090,0.0,0,0.6597539553864472,0.006597539553864472,2,100
72,7190,0.0,0,1.0,0.01,0,100
73,7290,0.0,0,0.3720410580113015,0.003720410580113015,5,100
74,7390,0.0,0,0.5358867312681466,0.005358867312681466,8,100
75,7490,0.0,0,0.5577898253032461,0.005577898253032461,7,100
76,7590,0.0,0,0.6170338627200096,0.006170338627200096,17,100
77,7690,0.0,0,0.5011872336272724,0.005011872336272724,10,100
78,7790,0.0,0,1.0,0.01,2,100
79,7890,0.0,0,1.0,0.01,0,100
80,7990,0.0,0,1.0,0.01,0,100
81,8090,0.0,0,0.7192230933248644,0.007192230933248645,0,100
