episode,frame,ep_reward,success,intrinsic_bonus,total_shaped_reward,visit_count,steps_in_episode
0,100,0.0,0,0.5,0.005,0,100
1,200,0.0,0,1.0,0.01,4,100
2,300,0.0,0,1.0,0.01,1,100
3,400,0.0,0,0.7071067811865475,0.0070710678118654745,2,100
4,500,0.0,0,0.5773502691896258,0.005773502691896259,3,100
5,600,0.0,0,0.30151134457776363,0.0030151134457776364,11,100
6,700,0.0,0,0.5773502691896258,0.005773502691896259,2,100
7,800,0.0,0,0.35355339059327373,0.0035355339059327372,8,100
8,900,0.0,0,0.5773502691896258,0.005773502691896259,3,100
9,1000,0.0,0,1.0,0.01,1,100
10,1100,0.0,0,0.18257418583505536,0.0018257418583505537,30,100
11,1200,0.0,0,0.7071067811865475,0.0070710678118654745,2,100
12,1300,0.0,0,0.5,0.005,4,100
13,1400,0.0,0,0.5773502691896258,0.005773502691896259,1,100
14,1500,0.0,0,0.5773502691896258,0.005773502691896259,3,100
15,1600,0.0,0,0.7071067811865475,0.0070710678118654745,0,100
16,1700,0.0,0,0.31622776601683794,0.0031622776601683794,10,100
17,1800,0.0,0,0.7071067811865475,0.0070710678118654745,2,100
18,1900,0.0,0,0.4472135954999579,0.00447213595499958,5,100
19,2000,0.0,0,0.35355339059327373,0.0035355339059327372,3,100
20,2100,0.0,0,1.0,0.01,1,100
21,2200,0.0,0,0.4082482904638631,0.004082482904638631,6,100
22,2300,0.0,0,0.30151134457776363,0.0030151134457776364,12,100
23,2400,0.0,0,0.4082482904638631,0.004082482904638631,6,100
24,2500,0.0,0,0.3333333333333333,0.003333333333333333,6,100
25,2600,0.0,0,1.0,0.01,1,100
26,2700,0.0,0,0.5,0.005,4,100
27,2800,0.0,0,0.5,0.005,4,100
28,2900,0.0,0,0.7071067811865475,0.0070710678118654745,2,100
29,3000,0.0,0,0.31622776601683794,0.0031622776601683794,10,100
30,3100,0.0,0,0.4082482904638631,0.004082482904638631,6,100
31,3200,0.0,0,0.5773502691896258,0.005773502691896259,3,100
32,3300,0.0,0,0.5,0.005,5,100
33,3400,0.0,0,0.2886751345948129,0.0028867513459481294,12,100
34,3500,0.0,0,0.5773502691896258,0.005773502691896259,3,100
35,3600,0.0,0,0.30151134457776363,0.0030151134457776364,5,100
36,3700,0.0,0,0.7071067811865475,0.0070710678118654745,2,100
37,3800,0.0,0,1.0,0.01,1,100
38,3900,0.0,0,0.7071067811865475,0.0070710678118654745,2,100
39,3922,0.802,1,0.4082482904638631,0.8060824829046387,0,22
40,4022,0.0,0,0.7071067811865475,0.0070710678118654745,0,100
41,4122,0.0,0,0.5773502691896258,0.005773502691896259,2,100
42,4222,0.0,0,0.7071067811865475,0.0070710678118654745,0,100
43,4322,0.0,0,0.5,0.005,4,100
44,4422,0.0,0,1.0,0.01,0,100
45,4522,0.0,0,0.5773502691896258,0.005773502691896259,3,100
46,4622,0.0,0,0.35355339059327373,0.0035355339059327372,8,100
47,4722,0.0,0,0.21320071635561041,0.002132007163556104,22,100
48,4822,0.0,0,0.2773500981126146,0.002773500981126146,13,100
49,4922,0.0,0,1.0,0.01,1,100
