episode,frame,ep_reward,success,intrinsic_bonus,total_shaped_reward,visit_count,steps_in_episode
0,144,0.0,0,0.6155722066724582,0.006155722066724581,1,144
1,288,0.0,0,0.18664876487807674,0.0018664876487807674,0,144
2,432,0.0,0,0.28529497656828423,0.0028529497656828422,18,144
3,576,0.0,0,0.28529497656828423,0.0028529497656828422,4,144
4,720,0.0,0,0.1273129200782941,0.0012731292007829409,19,144
5,837,0.26874999999999993,1,0.32413131933855255,0.27199131319338543,0,117
6,853,0.9,1,0.28529497656828423,0.9028529497656829,0,16
7,997,0.0,0,0.10810658058168605,0.0010810658058168605,24,144
8,1141,0.0,0,0.04188532947578799,0.0004188532947578799,93,144
9,1173,0.8,1,0.12282280261157905,0.8012282280261158,0,32
10,1317,0.0,0,0.053249955002390104,0.0005324995500239011,66,144
11,1433,0.2749999999999999,1,0.10810658058168605,0.27608106580581676,0,116
12,1577,0.0,0,0.2147980049924181,0.002147980049924181,25,144
13,1624,0.70625,1,0.10221594695789055,0.707272159469579,0,47
14,1768,0.0,0,0.05759749448596083,0.0005759749448596083,46,144
15,1774,0.9625,1,0.08838834764831845,0.9633838834764832,0,6
16,1802,0.825,1,0.1435872943746294,0.8264358729437462,0,28
17,1946,0.0,0,0.32413131933855255,0.0032413131933855255,5,144
18,1998,0.675,1,0.1050611121761507,0.6760506111217616,0,52
19,2142,0.0,0,0.09247303715573939,0.0009247303715573939,41,144
20,2286,0.0,0,0.06292129602598363,0.0006292129602598364,24,144
21,2430,0.0,0,0.02467938691837756,0.0002467938691837756,73,144
22,2574,0.0,0,0.02400451555629921,0.0002400451555629921,206,144
23,2718,0.0,0,0.02050530369550857,0.0002050530369550857,258,144
24,2862,0.0,0,0.026279978016254382,0.0002627997801625438,181,144
25,2876,0.9125,1,0.09247303715573939,0.9134247303715574,0,14
26,3020,0.0,0,0.058290852179343204,0.0005829085217934321,188,144
27,3164,0.0,0,0.018365177912682586,0.00018365177912682586,302,144
28,3184,0.875,1,0.0743106910951118,0.8757431069109511,0,20
29,3192,0.95,1,0.0665474063644824,0.9506654740636448,0,8
30,3336,0.0,0,0.053822101429815784,0.0005382210142981579,65,144
31,3480,0.0,0,0.01608403445903167,0.00016084034459031671,365,144
32,3624,0.0,0,0.027920573740630665,0.0002792057374063067,98,144
33,3768,0.0,0,0.025880924755365995,0.00025880924755365995,80,144
34,3790,0.8625,1,0.083014196549835,0.8633301419654984,0,22
35,3934,0.0,0,0.02337277932369386,0.0002337277932369386,214,144
36,4013,0.5062499999999999,1,0.07984703486284699,0.5070484703486283,0,79
37,4048,0.78125,1,0.07695817763447613,0.7820195817763448,0,35
38,4110,0.6125,1,0.060498710412842306,0.6131049871041284,0,62
39,4123,0.91875,1,0.07187404398829542,0.9194687404398829,0,13
40,4267,0.0,0,0.021261002617327055,0.00021261002617327057,245,144
41,4274,0.95625,1,0.06962276074948147,0.9569462276074948,0,7
42,4418,0.0,0,0.013031882528159369,0.0001303188252815937,493,144
43,4562,0.0,0,0.011919783877274501,0.00011919783877274502,240,144
44,4706,0.0,0,0.04574359609677336,0.00045743596096773357,82,144
45,4771,0.59375,1,0.05974043506886169,0.5943474043506887,0,65
46,4808,0.76875,1,0.0665474063644824,0.7694154740636449,0,37
47,4873,0.59375,1,0.06208788861073945,0.5943708788861074,0,65
48,5017,0.0,0,0.027124873895437614,0.0002712487389543761,279,144
