episode,frame,ep_reward,success,intrinsic_bonus,total_shaped_reward,visit_count,steps_in_episode
0,144,0.0,0,1.0,0,5,144
1,288,0.0,0,1.0,0,39,144
2,432,0.0,0,1.0,0,15,144
3,576,0.0,0,1.0,0,28,144
4,720,0.0,0,1.0,0,39,144
5,864,0.0,0,1.0,0,2,144
6,867,0.98125,1,1.0,0.98125,0,3
7,912,0.71875,1,1.0,0.71875,0,45
8,1056,0.0,0,1.0,0,13,144
9,1200,0.0,0,1.0,0,20,144
10,1344,0.0,0,1.0,0,10,144
11,1488,0.0,0,1.0,0,72,144
12,1585,0.39374999999999993,1,1.0,0.39374999999999993,0,97
13,1695,0.3125,1,1.0,0.3125,0,110
14,1839,0.0,0,1.0,0,25,144
15,1846,0.95625,1,1.0,0.95625,0,7
16,1874,0.825,1,1.0,0.825,0,28
17,1987,0.29374999999999996,1,1.0,0.29374999999999996,0,113
18,2061,0.5375000000000001,1,1.0,0.5375000000000001,0,74
19,2205,0.0,0,1.0,0,60,144
20,2349,0.0,0,1.0,0,71,144
21,2493,0.0,0,1.0,0,26,144
22,2637,0.0,0,1.0,0,31,144
23,2760,0.23125000000000007,1,1.0,0.23125000000000007,0,123
24,2828,0.575,1,1.0,0.575,0,68
25,2972,0.0,0,1.0,0,153,144
26,3116,0.0,0,1.0,0,39,144
27,3154,0.7625,1,1.0,0.7625,0,38
28,3239,0.46875,1,1.0,0.46875,0,85
29,3296,0.64375,1,1.0,0.64375,0,57
30,3360,0.6000000000000001,1,1.0,0.6000000000000001,0,64
31,3504,0.0,0,1.0,0,50,144
32,3513,0.94375,1,1.0,0.94375,0,9
33,3628,0.2812499999999999,1,1.0,0.2812499999999999,0,115
34,3630,0.9875,1,1.0,0.9875,0,2
35,3774,0.0,0,1.0,0,26,144
36,3790,0.9,1,1.0,0.9,0,16
37,3934,0.0,0,1.0,0,50,144
38,4040,0.3374999999999999,1,1.0,0.3374999999999999,0,106
39,4184,0.0,0,1.0,0,96,144
40,4328,0.0,0,1.0,0,79,144
41,4340,0.925,1,1.0,0.925,0,12
42,4348,0.95,1,1.0,0.95,0,8
43,4492,0.0,0,1.0,0,127,144
44,4522,0.8125,1,1.0,0.8125,0,30
45,4666,0.0,0,1.0,0,133,144
46,4776,0.3125,1,1.0,0.3125,0,110
47,4827,0.6812499999999999,1,1.0,0.6812499999999999,0,51
48,4835,0.95,1,1.0,0.95,0,8
49,4864,0.81875,1,1.0,0.81875,0,29
50,4871,0.95625,1,1.0,0.95625,0,7
51,4911,0.75,1,1.0,0.75,0,40
52,4951,0.75,1,1.0,0.75,0,40
53,4970,0.88125,1,1.0,0.88125,0,19
54,4974,0.975,1,1.0,0.975,0,4
55,4997,0.85625,1,1.0,0.85625,0,23
