episode,frame,ep_reward,success,intrinsic_bonus,total_shaped_reward,visit_count,steps_in_episode
0,144,0.0,0,0.23570226039551587,0.0023570226039551587,18,144
1,288,0.0,0,0.20851441405707477,0.002085144140570748,23,144
2,432,0.0,0,0.25,0.0025,7,144
3,520,0.44999999999999996,1,0.35355339059327373,0.4535355339059327,0,88
4,664,0.0,0,0.2182178902359924,0.002182178902359924,21,144
5,684,0.875,1,0.7071067811865475,0.8820710678118655,0,20
6,828,0.0,0,0.22941573387056174,0.0022941573387056176,19,144
7,838,0.9375,1,0.25,0.94,0,10
8,982,0.0,0,0.1690308509457033,0.0016903085094570332,31,144
9,1126,0.0,0,0.2672612419124244,0.002672612419124244,14,144
10,1270,0.0,0,0.20851441405707477,0.002085144140570748,23,144
11,1343,0.54375,1,0.30151134457776363,0.5467651134457776,0,73
12,1376,0.79375,1,0.2773500981126146,0.7965235009811261,0,33
13,1379,0.98125,1,0.2672612419124244,0.9839226124191242,0,3
14,1523,0.0,0,0.18257418583505536,0.0018257418583505537,31,144
15,1667,0.0,0,0.15811388300841897,0.0015811388300841897,31,144
16,1675,0.95,1,0.2581988897471611,0.9525819888974716,0,8
17,1769,0.4125,1,0.23570226039551587,0.41485702260395513,0,94
18,1815,0.7125,1,0.22941573387056174,0.7147941573387057,0,46
19,1871,0.6499999999999999,1,0.22360679774997896,0.6522360679774997,0,56
20,2015,0.0,0,0.18569533817705186,0.0018569533817705186,47,144
21,2117,0.36249999999999993,1,0.20412414523193154,0.36454124145231925,0,102
22,2236,0.25625,1,0.1796053020267749,0.25804605302026773,0,119
23,2369,0.16874999999999996,1,0.2,0.17074999999999996,0,133
24,2447,0.5125,1,0.16012815380508713,0.5141012815380508,0,78
25,2545,0.38749999999999996,1,0.19611613513818404,0.3894611613513818,0,98
26,2689,0.0,0,0.1386750490563073,0.001386750490563073,49,144
27,2833,0.0,0,0.07537783614444091,0.0007537783614444091,176,144
28,2977,0.0,0,0.22941573387056174,0.0022941573387056176,7,144
29,3121,0.0,0,0.24253562503633297,0.00242535625036333,17,144
30,3153,0.8,1,0.16012815380508713,0.8016012815380509,0,32
31,3297,0.0,0,0.12309149097933272,0.0012309149097933273,66,144
32,3344,0.70625,1,0.14744195615489714,0.707724419561549,0,47
33,3488,0.0,0,0.1336306209562122,0.001336306209562122,56,144
34,3493,0.96875,1,0.15617376188860607,0.970311737618886,0,5
35,3514,0.86875,1,0.1543033499620919,0.870293033499621,0,21
36,3548,0.7875,1,0.14744195615489714,0.7889744195615489,0,34
37,3639,0.43125,1,0.14285714285714285,0.43267857142857147,0,91
38,3700,0.61875,1,0.14433756729740646,0.6201933756729741,0,61
39,3790,0.4375,1,0.14285714285714285,0.43892857142857145,0,90
40,3828,0.7625,1,0.1386750490563073,0.763886750490563,0,38
41,3920,0.42500000000000004,1,0.1414213562373095,0.42641421356237313,0,92
42,4064,0.0,0,0.13130643285972254,0.0013130643285972255,31,144
43,4108,0.725,1,0.13018891098082389,0.7263018891098082,0,44
44,4189,0.49375,1,0.12909944487358055,0.49504099444873584,0,81
45,4270,0.49375,1,0.1259881576697424,0.49500988157669745,0,81
46,4401,0.18125000000000002,1,0.12403473458920847,0.18249034734589212,0,131
47,4407,0.9625,1,0.12309149097933272,0.9637309149097933,0,6
48,4418,0.93125,1,0.12126781251816648,0.9324626781251817,0,11
49,4496,0.5125,1,0.1203858530857692,0.5137038585308576,0,78
50,4508,0.925,1,0.11867816581938533,0.9261867816581939,0,12
51,4555,0.70625,1,0.13483997249264842,0.7075983997249266,0,47
52,4567,0.925,1,0.11470786693528087,0.9261470786693529,0,12
53,4573,0.9625,1,0.1125087900926024,0.963625087900926,0,6
54,4585,0.925,1,0.10976425998969035,0.9260976425998969,0,12
55,4598,0.91875,1,0.1091089451179962,0.9198410894511799,0,13
56,4742,0.0,0,0.12803687993289598,0.0012803687993289598,70,144
57,4778,0.775,1,0.10846522890932808,0.7760846522890933,0,36
58,4906,0.20000000000000007,1,0.10660035817780521,0.20106600358177812,0,128
59,4927,0.86875,1,0.11952286093343936,0.8699452286093344,0,21
60,4931,0.975,1,0.11867816581938533,0.9761867816581938,0,4
61,4956,0.84375,1,0.11785113019775793,0.8449285113019775,0,25
62,5087,0.18125000000000002,1,0.11322770341445956,0.1823822770341446,0,131
63,5092,0.96875,1,0.11180339887498948,0.9698680339887499,0,5
64,5198,0.3374999999999999,1,0.10660035817780521,0.33856600358177796,0,106
65,5259,0.61875,1,0.10101525445522107,0.6197601525445522,0,61
66,5264,0.96875,1,0.10050378152592121,0.9697550378152592,0,5
67,5278,0.9125,1,0.105999788000636,0.9135599978800063,0,14
68,5422,0.0,0,0.125,0.00125,64,144
69,5441,0.88125,1,0.10425720702853739,0.8822925720702853,0,19
70,5464,0.85625,1,0.10314212462587934,0.8572814212462587,0,23
71,5546,0.48750000000000004,1,0.09712858623572641,0.48847128586235733,0,82
72,5598,0.675,1,0.09325048082403138,0.6759325048082404,0,52
73,5679,0.49375,1,0.10050378152592121,0.49475503781525926,0,81
74,5710,0.80625,1,0.09950371902099892,0.80724503719021,0,31
75,5854,0.0,0,0.13018891098082389,0.001301889109808239,71,144
76,5904,0.6875,1,0.09712858623572641,0.6884712858623573,0,50
77,5911,0.95625,1,0.09016696346674323,0.9571516696346675,0,7
78,5940,0.81875,1,0.08944271909999159,0.819644427191,0,29
79,6037,0.39374999999999993,1,0.08838834764831843,0.3946338834764831,0,97
80,6112,0.53125,1,0.09622504486493763,0.5322122504486494,0,75
81,6256,0.0,0,0.07254762501100116,0.0007254762501100117,190,144
82,6267,0.93125,1,0.0873704056661038,0.932123704056661,0,11
