episode,frame,ep_reward,success,intrinsic_bonus,total_shaped_reward,visit_count,steps_in_episode
0,32,0.0,0,1.0,0,3,32
1,64,0.0,0,1.0,0,16,32
2,96,0.0,0,1.0,0,4,32
3,128,0.0,0,1.0,0,12,32
4,139,0.1,1,1.0,0.1,0,11
5,171,0.0,0,1.0,0,28,32
6,203,0.0,0,1.0,0,18,32
7,235,0.0,0,1.0,0,3,32
8,267,0.0,0,1.0,0,65,32
9,299,0.0,0,1.0,0,9,32
10,310,0.1,1,1.0,0.1,0,11
11,342,0.0,0,1.0,0,3,32
12,374,0.0,0,1.0,0,2,32
13,406,0.0,0,1.0,0,16,32
14,411,0.1,1,1.0,0.1,0,5
15,443,0.0,0,1.0,0,1,32
16,475,0.0,0,1.0,0,24,32
17,507,0.0,0,1.0,0,62,32
18,539,0.0,0,1.0,0,77,32
19,571,0.0,0,1.0,0,2,32
20,603,0.0,0,1.0,0,5,32
21,605,0.1,1,1.0,0.1,0,2
22,637,0.0,0,1.0,0,40,32
23,669,0.0,0,1.0,0,7,32
24,701,0.0,0,1.0,0,35,32
25,733,0.0,0,1.0,0,1,32
26,765,0.0,0,1.0,0,16,32
27,780,0.1,1,1.0,0.1,0,15
28,785,0.1,1,1.0,0.1,0,5
29,794,0.1,1,1.0,0.1,0,9
30,826,0.0,0,1.0,0,95,32
31,843,0.1,1,1.0,0.1,0,17
32,875,0.0,0,1.0,0,100,32
33,896,0.1,1,1.0,0.1,0,21
34,901,0.1,1,1.0,0.1,0,5
35,933,0.0,0,1.0,0,72,32
36,965,0.0,0,1.0,0,3,32
37,997,0.0,0,1.0,0,86,32
38,1002,0.1,1,1.0,0.1,0,5
39,1034,0.0,0,1.0,0,2,32
40,1040,0.1,1,1.0,0.1,0,6
41,1072,0.0,0,1.0,0,17,32
42,1104,0.0,0,1.0,0,29,32
43,1136,0.0,0,1.0,0,158,32
44,1139,0.1,1,1.0,0.1,0,3
45,1171,0.0,0,1.0,0,139,32
46,1203,0.0,0,1.0,0,107,32
47,1235,0.0,0,1.0,0,0,32
48,1267,0.0,0,1.0,0,145,32
49,1299,0.0,0,1.0,0,14,32
50,1331,0.0,0,1.0,0,19,32
51,1363,0.0,0,1.0,0,180,32
52,1369,0.1,1,1.0,0.1,0,6
53,1401,0.0,0,1.0,0,178,32
54,1405,0.1,1,1.0,0.1,0,4
55,1437,0.0,0,1.0,0,186,32
56,1469,0.0,0,1.0,0,38,32
57,1501,0.0,0,1.0,0,47,32
58,1533,0.0,0,1.0,0,90,32
59,1537,0.1,1,1.0,0.1,0,4
60,1567,0.1,1,1.0,0.1,0,30
61,1599,0.0,0,1.0,0,31,32
62,1631,0.0,0,1.0,0,58,32
63,1649,0.1,1,1.0,0.1,0,18
64,1681,0.0,0,1.0,0,9,32
65,1709,0.1,1,1.0,0.1,0,28
66,1726,0.1,1,1.0,0.1,0,17
67,1752,0.1,1,1.0,0.1,0,26
68,1784,0.0,0,1.0,0,98,32
69,1816,0.0,0,1.0,0,218,32
70,1848,0.0,0,1.0,0,20,32
71,1878,0.1,1,1.0,0.1,0,30
72,1910,0.0,0,1.0,0,16,32
73,1942,0.0,0,1.0,0,76,32
74,1949,0.1,1,1.0,0.1,0,7
75,1981,0.0,0,1.0,0,267,32
76,1996,0.1,1,1.0,0.1,0,15
77,2028,0.0,0,1.0,0,22,32
78,2042,0.1,1,1.0,0.1,0,14
79,2074,0.0,0,1.0,0,175,32
80,2106,0.0,0,1.0,0,263,32
81,2138,0.0,0,1.0,0,11,32
82,2170,0.0,0,1.0,0,79,32
83,2202,0.0,0,1.0,0,2,32
84,2234,0.0,0,1.0,0,285,32
85,2266,0.0,0,1.0,0,73,32
86,2298,0.0,0,1.0,0,21,32
87,2330,0.0,0,1.0,0,13,32
88,2362,0.0,0,1.0,0,153,32
89,2381,0.1,1,1.0,0.1,0,19
90,2413,0.0,0,1.0,0,13,32
91,2428,0.1,1,1.0,0.1,0,15
92,2447,0.1,1,1.0,0.1,0,19
93,2479,0.0,0,1.0,0,23,32
94,2511,0.0,0,1.0,0,44,32
95,2527,0.1,1,1.0,0.1,0,16
96,2559,0.0,0,1.0,0,345,32
97,2591,0.0,0,1.0,0,37,32
98,2623,0.0,0,1.0,0,20,32
99,2630,0.1,1,1.0,0.1,0,7
100,2645,0.1,1,1.0,0.1,0,15
101,2677,0.0,0,1.0,0,128,32
102,2709,0.0,0,1.0,0,37,32
103,2741,0.0,0,1.0,0,33,32
104,2773,0.0,0,1.0,0,193,32
105,2805,0.0,0,1.0,0,210,32
106,2837,0.0,0,1.0,0,12,32
107,2856,0.1,1,1.0,0.1,0,19
108,2888,0.0,0,1.0,0,27,32
109,2920,0.0,0,1.0,0,335,32
110,2952,0.0,0,1.0,0,340,32
111,2963,0.1,1,1.0,0.1,0,11
112,2995,0.0,0,1.0,0,49,32
113,3003,0.1,1,1.0,0.1,0,8
114,3035,0.0,0,1.0,0,231,32
115,3067,0.0,0,1.0,0,248,32
116,3099,0.0,0,1.0,0,100,32
117,3131,0.0,0,1.0,0,48,32
118,3147,0.1,1,1.0,0.1,0,16
119,3179,0.0,0,1.0,0,245,32
